time,waist,shoulder,elbow,wrist_angle,wrist_rotate,ee_x,ee_y,ee_z,fk_x,fk_y,fk_z,qd_cmd_waist,qd_cmd_shoulder,qd_cmd_elbow,qd_cmd_wrist_angle,qd_cmd_wrist_rotate,qd_act_waist,qd_act_shoulder,qd_act_elbow,qd_act_wrist_angle,qd_act_wrist_rotate,dist,sigma
0.450347900390625,-0.2577087879180908,1.196505069732666,-0.552233099937439,0.19634954631328583,-0.2485048919916153,0.4545862740740312,-0.11981515721434916,-0.10686160488550288,0.45458627407403135,-0.11981515721434916,-0.10686160488550286,0.032012873229760826,-0.21026072621326408,0.16057882450789338,0.11877558108325038,1.2182932402782952e-18,0.0,0.0,0.0,0.0,0.0,0.34562697402820586,0.10205061458940405
0.4704301357269287,-0.2577087879180908,1.196505069732666,-0.552233099937439,0.19788353145122528,-0.2485048919916153,0.4545862740740312,-0.11981515721434916,-0.10686160488550288,0.45441090230562214,-0.11976893453407642,-0.10702371466725205,0.03201759244170987,-0.2101945172582731,0.16034886896824596,0.11896951841709226,-2.630967430266604e-18,0.0,0.0,0.0,0.0,0.0,0.34570188829073567,0.10217456270565672
0.4904296398162842,-0.2577087879180908,1.196505069732666,-0.552233099937439,0.19788353145122528,-0.2485048919916153,0.4544109023056221,-0.11976893453407642,-0.10702371466725209,0.45441090230562214,-0.11976893453407642,-0.10702371466725205,0.03201759244170987,-0.2101945172582731,0.16034886896824596,0.11896951841709226,-2.630967430266604e-18,0.0,0.0,0.0,0.0,0.0,0.34570188829073567,0.10217456270565672
0.510427713394165,-0.2577087879180908,1.196505069732666,-0.552233099937439,0.19788353145122528,-0.2485048919916153,0.4544109023056221,-0.11976893453407642,-0.10702371466725209,0.45441090230562214,-0.11976893453407642,-0.10702371466725205,0.03201759244170987,-0.2101945172582731,0.16034886896824596,0.11896951841709226,-2.630967430266604e-18,0.0,0.0,0.0,0.0,0.0,0.34570188829073567,0.10217456270565672
0.5304305553436279,-0.25617480278015137,1.196505069732666,-0.552233099937439,0.19788353145122528,-0.2485048919916153,0.4545940913597244,-0.11907173432206296,-0.10702371466725204,0.4545940913597245,-0.11907173432206296,-0.10702371466725213,0.03184830226475454,-0.2102497332298371,0.16034293290786528,0.1189721531898265,-2.0989046144709754e-17,0.0,0.0,0.0,0.0,0.0,0.3455163718695666,0.1021745627056569
0.5504708290100098,-0.25617480278015137,1.196505069732666,-0.552233099937439,0.19788353145122528,-0.2485048919916153,0.4545940913597244,-0.11907173432206296,-0.10702371466725204,0.4545940913597245,-0.11907173432206296,-0.10702371466725213,0.03184830226475454,-0.2102497332298371,0.16034293290786528,0.1189721531898265,-2.0989046144709754e-17,0.0,0.0,0.0,0.0,0.0,0.3455163718695666,0.1021745627056569
0.5704257488250732,-0.2577087879180908,1.1949710845947266,-0.552233099937439,0.19941750168800354,-0.2485048919916153,0.4545492385097985,-0.1198053957626641,-0.10646470882423499,0.4545492385097984,-0.1198053957626641,-0.10646470882423494,0.03204936003143663,-0.21011891694658436,0.16013896648917397,0.11917327786065243,2.104306508102611e-17,0.0,0.0,0.0,0.0,0.0,0.3452600380605181,0.10229856378342188
0.5904946327209473,-0.2577087879180908,1.1949710845947266,-0.552233099937439,0.19941750168800354,-0.2485048919916153,0.4545492385097985,-0.1198053957626641,-0.10646470882423499,0.4545492385097984,-0.1198053957626641,-0.10646470882423494,0.03204936003143663,-0.21011891694658436,0.16013896648917397,0.11917327786065243,2.104306508102611e-17,0.0,0.0,0.0,0.0,0.0,0.3452600380605181,0.10229856378342188
0.6104843616485596,-0.25617480278015137,1.1949710845947266,-0.5506991147994995,0.200951486825943,-0.2485048919916153,0.4545492385097985,-0.1198053957626641,-0.10646470882423499,0.4542028057969584,-0.1189692449772622,-0.10703352971139164,0.031887558760719005,-0.21008654843589206,0.15980267550915492,0.11922928334233567,2.351588734036086e-17,0.0,0.0,0.0,0.0,0.0,0.3453715308960113,0.10256864068204745
0.6304857730865479,-0.2577087879180908,1.196505069732666,-0.552233099937439,0.20248547196388245,-0.2485048919916153,0.4543736264882479,-0.11975910975894857,-0.10662654021306998,0.45388334883277337,-0.11962988743588342,-0.10750837055094972,0.032031986788652655,-0.2099941424155013,0.1596594093164647,0.11954490086433764,-6.519877519419259e-18,0.0,0.0,0.0,0.0,0.0,0.3459255094547582,0.10254672888386838
0.6504781246185303,-0.2577087879180908,1.1949710845947266,-0.552233099937439,0.20555342733860016,-0.2485048919916153,0.4538453547399337,-0.1196198733451235,-0.10711035863854752,0.45384535473993354,-0.1196198733451235,-0.10711035863854759,0.032068692165223386,-0.20984978515909697,0.15921933670538807,0.1199336262875438,1.0714966510534894e-17,0.0,0.0,0.0,0.0,0.0,0.3455568609986834,0.10279510357157547
